scenario,parameter,nominal,low,high,delta_c_low,delta_c_high,delta_c_nominal,swing
precision_component,actionable_recall,0.99,0.85,1.0,-14.168821027777796,57.698730472222216,52.907560372222214,71.86755150000002
precision_component,defect_prevalence,0.04,0.03,0.05,39.66295839722221,66.15216234722222,52.907560372222214,26.489203950000004
precision_component,part_mass_kg,0.015,0.01125,0.01875,52.70780312222221,53.10731762222221,52.907560372222214,0.3995145000000022
precision_component,material_carbon_factor_kgco2e_per_kg,3.5,2.625,4.375,52.70780312222221,53.10731762222221,52.907560372222214,0.3995145000000022
precision_component,grid_carbon_factor,0.417,0.31275,0.52125,53.080427529166656,52.734693215277765,52.907560372222214,0.3457343138888902
precision_component,rework_energy_kwh_per_unit,0.05,0.037500000000000006,0.0625,53.062715647222205,52.75240509722221,52.907560372222214,0.31031054999999697
precision_component,material_recovery_fraction,0.4,0.30000000000000004,0.5,53.04073187222222,52.77438887222221,52.907560372222214,0.2663430000000062
precision_component,reworkability_decay_per_sec,0.15,0.11249999999999999,0.1875,52.83885189722221,52.96221084722222,52.907560372222214,0.12335895000000363
precision_component,edge_energy_kwh_per_1k,0.171,0.12825,0.21375000000000002,52.92538712222221,52.88973362222222,52.907560372222214,0.03565349999999512
precision_component,policy_delay_frames,3.0,2.25,3.75,52.90914189722221,52.905978847222215,52.907560372222214,0.0031630499999977246
precision_component,review_duration_seconds,30.0,22.5,37.5,52.90744550416666,52.90767524027777,52.907560372222214,0.00022973611110899128
machined_metal,actionable_recall,0.99,0.85,1.0,-40.366871527777846,248.14771247222222,228.9134068722222,288.51458400000007
machined_metal,defect_prevalence,0.03,0.0225,0.0375,171.66734327222218,286.1594704722222,228.9134068722222,114.49212720000003
machined_metal,material_recovery_fraction,0.85,0.6375,1.0,275.6454081222222,195.92611187222218,228.9134068722222,79.71929625000001
machined_metal,material_carbon_factor_kgco2e_per_kg,8.24,6.18,10.3,220.66658312222222,237.1602306222222,228.9134068722222,16.49364749999998
machined_metal,part_mass_kg,1.25,0.9375,1.5625,220.66658312222222,237.1602306222222,228.9134068722222,16.49364749999998
machined_metal,grid_carbon_factor,0.417,0.31275,0.52125,233.55687890416664,224.26993484027776,228.9134068722222,9.286944063888882
machined_metal,rework_energy_kwh_per_unit,1.8,1.35,2.25,233.53916702222222,224.2876467222222,228.9134068722222,9.25152030000001
machined_metal,reworkability_decay_per_sec,0.2,0.15000000000000002,0.25,226.9341592722222,228.7954384722222,228.9134068722222,1.8612792000000127
machined_metal,policy_delay_frames,3.0,2.25,3.75,229.0313752722222,228.7954384722222,228.9134068722222,0.2359367999999904
machined_metal,edge_energy_kwh_per_1k,0.171,0.12825,0.21375000000000002,228.9312336222222,228.8955801222222,228.9134068722222,0.03565349999999512
machined_metal,review_duration_seconds,30.0,22.5,37.5,228.91329200416664,228.91352174027776,228.9134068722222,0.00022973611112320214
high_value_component,actionable_recall,0.99,0.85,1.0,959.5313430972215,1873.1199649722216,1812.2140568472216,913.5886218750002
high_value_component,defect_prevalence,0.015,0.01125,0.01875,1359.142830753472,2265.285282940972,1812.2140568472216,906.1424521875001
high_value_component,material_recovery_fraction,0.6,0.44999999999999996,0.75,2222.0044474722217,1402.423666222222,1812.2140568472216,819.5807812499997
high_value_component,part_mass_kg,14.5,10.875,18.125,1539.0204630972216,2085.4076505972225,1812.2140568472216,546.3871875000009
high_value_component,material_carbon_factor_kgco2e_per_kg,22.5,16.875,28.125,1539.0204630972216,2085.4076505972216,1812.2140568472216,546.3871875
high_value_component,policy_delay_frames,3.0,2.25,3.75,1824.1132226284717,1800.3148910659718,1812.2140568472216,23.798331562499925
high_value_component,reworkability_decay_per_sec,0.25,0.1875,0.3125,1824.1132226284717,1800.3148910659718,1812.2140568472216,23.798331562499925
high_value_component,grid_carbon_factor,0.417,0.31275,0.52125,1817.979136385416,1806.4489773090272,1812.2140568472216,11.530159076388827
high_value_component,rework_energy_kwh_per_unit,5.5,4.125,6.875,1817.9614245034716,1806.4666891909717,1812.2140568472216,11.49473531249987
high_value_component,edge_energy_kwh_per_1k,0.171,0.12825,0.21375000000000002,1812.2318835972217,1812.1962300972216,1812.2140568472216,0.035653500000080385
high_value_component,review_duration_seconds,30.0,22.5,37.5,1812.213941979166,1812.2141717152772,1812.2140568472216,0.00022973611112320214
